"Alpha3Code","Country","Alpha2Code","NumCode","Country Name","Region","Image URL","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"AUS","Australia","AU","036","Australia","Oceania","https://public.flourish.studio/country-flags/svg/au.svg",18.60678687423,19.6830552133498,19.922723709262,21.539926083548,23.8010975473177,25.9771530966514,27.309889125322,30.4446186583044,32.7169895844999,36.6860790682047,41.3372158136409,45.2223093291522,52.0514018691589,63.8449711723254,88.9815770081061,97.3330602212208,105.101474851885,110.387703601744,118.535980148883,134.941497216858,150.032311977716,176.953442470684,194.104601125455,177.333645297146,193.593551892773,180.573751629976,182.368494683828,189.400476442562,236.06591967404,299.767934207312,311.326664101578,325.902990346127,325.480273782973,312.126194491287,322.807333102733,367.9158004158,401.089529590288,435.323994365315,399.404463135047,389.098884572001,415.576210513094,379.083932596329,395.342716617832,467.39079790332,614.166310997297,695.075176665163,747.556154537287,853.955405511502,1055.12712623098,928.042998085702,1147.58918347573,1397.9079167899,1546.50855846566,1576.33528265107,1467.50481960892,1350.53415425576,1206.68510700247,1326.88287201146,1428.52957135106,1391.95251037048,1327.83617106851
"AUT","Austria","AT","040","Austria","Europe","https://public.flourish.studio/country-flags/svg/at.svg",6.59269384118495,7.31174963336229,7.75611021011966,8.37417525773075,9.16998388571185,9.99407061585997,10.8876822731014,11.5794316689165,12.4406253128685,13.5827985562404,15.3730055570257,17.8584860667474,22.0596124769332,29.515467706796,35.1892999116608,40.059206763056,42.9599762215234,51.5457588876863,62.0522590732493,73.9372969634586,82.0589129972346,71.034228443062,71.2752875695733,72.1210165466524,67.9853448868716,69.3867744080872,99.0361649391618,124.16844253374,133.339397080129,133.10580551222,166.463386179354,173.794177961108,195.078126721763,190.37972080918,203.535242741838,241.038283062645,237.250948791266,212.790348404555,218.259904401956,217.185787342851,196.799778883361,197.337879194631,213.377771503858,261.695778781038,300.904221504842,315.974418604651,335.998557270104,388.691445387353,430.294287388311,400.172297860517,391.89274654469,431.12031008882,409.425234155263,430.068712971867,441.996131736508,381.817565893574,395.568644341038,416.230497429163,454.945881027378,445.01187270447,433.258467676515
"AZE","Azerbaijan","AZ","031","Azerbaijan","Asia","https://public.flourish.studio/country-flags/svg/az.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446305555555556,1.57,1.19331210191083,2.41735584003625,3.17633383703359,3.96223811316021,4.4463685706901,4.58143203883495,5.27279839070183,5.7077203908515,6.23585681958445,7.27675389471541,8.68037040805943,13.2457160990057,20.9829863443027,33.0503437827759,48.8524829600779,44.2914904205026,52.9092947919262,65.9516272002026,69.6839358452139,74.1644359464627,75.2442942751498,53.0743704860433,37.8675189571975,40.8655589123867,47.1129411764706,48.1742352941176,42.6071764705882
"BDI","Burundi","BI","108","Burundi","Africa","https://public.flourish.studio/country-flags/svg/bi.svg",0.19599999,0.202999992,0.213500006,0.232749998,0.260750008,0.158994962962963,0.165444571428571,0.178297142857143,0.1832,0.190205714285714,0.242732571428571,0.252842285714286,0.246804571428571,0.304339839552146,0.345263492063492,0.420986666666667,0.448412753623188,0.547535555555556,0.610225555555556,0.782496666666667,0.919726666666667,0.969046666666667,1.01322222222222,1.08292630446477,0.987143931166987,1.14997928577347,1.20172549706578,1.13146649401101,1.08240321948787,1.11392413041149,1.13210125251817,1.1673984783459,1.08303767060484,0.938632612026359,0.925030590153683,1.00042839388528,0.869033856317093,0.972896267915425,0.893770806077641,0.808077223365746,0.870486065883137,0.876794723068586,0.825394490159111,0.784654423620476,0.9152573233961,1.11711304565222,1.27337502026862,1.35619936485882,1.6118359019063,1.78145509207114,2.03213524650004,2.23582086782743,2.33330809946249,2.45162533274584,2.70578327207443,3.10439485811518,2.73280855684172,2.74818047371333,2.66849574288443,2.63143436322693,2.84178638219063
"BEL","Belgium","BE","056","Belgium","Europe","https://public.flourish.studio/country-flags/svg/be.svg",11.65872259099,12.400145221595,13.2640156753193,14.2600173870492,15.9601066806732,17.3714576079374,18.6518834724808,19.9920407884593,21.376353113475,23.7107358947022,26.7061960467931,29.821661869912,37.2094180185134,47.7438014903747,56.0330778790389,65.6781890972908,71.1138829676071,82.8399054586382,101.246526194441,116.315456796918,126.829314388191,104.73001847023,92.0959261875331,87.1842390532544,83.3495301591734,86.2682641483796,120.018787249413,149.394404105889,162.299103675261,164.221056511057,205.331747947851,210.510999409333,234.781652446675,224.721795708955,244.884129491198,288.025588396278,279.201433224756,252.708051420839,258.528339631029,258.158533986789,236.2045328911,236.54129753915,257.157820440429,317.381715575621,368.537000248324,385.570948886954,407.918078032869,470.324254037777,515.22352424198,481.34592942484,480.951629493033,522.645519183591,496.1812602583,521.642714407843,534.678075827361,462.149679343822,475.739588764759,501.522868356441,543.008499294079,535.288715239999,521.861292586616
"BEN","Benin","BJ","204","Benin","Africa","https://public.flourish.studio/country-flags/svg/bj.svg",0.22619557935701,0.235668222429984,0.23643490675427,0.253927646475909,0.269818988259263,0.289908720648622,0.302925280773564,0.306222000407316,0.326323097355964,0.330748211459737,0.333627758154666,0.335072975215766,0.410331900950531,0.504376035716401,0.554654786965107,0.676870140341529,0.698408244385343,0.750049739152238,0.928843304783965,1.18623126518417,1.40525154723882,1.29111996511262,1.26777848903079,1.09534830291865,1.05113392700009,1.04571270302696,1.33610204071025,1.56241203034838,1.62024618715171,1.50229441146202,1.95996524376269,1.98643785990346,1.69531530570308,2.27455791407481,1.59807593235432,2.16962725093379,2.36111658786079,2.26830153765128,2.45509258230927,3.67739429151516,3.51999132648464,3.66622260009828,4.19434284946574,5.34925833431914,6.19027075613743,6.56765449350831,7.0341116514964,8.16904869005254,9.78773542600897,9.73862699327696,9.53534428347295,10.6933219536355,11.1413589451349,12.5178457322095,13.2845286540574,11.388160958249,11.8210661525979,12.7016547432149,14.2624070115254,14.3916866327821,15.6515453315404
"BFA","Burkina Faso","BF","854","Burkina Faso","Africa","https://public.flourish.studio/country-flags/svg/bf.svg",0.330442817168859,0.35024723711684,0.379567023340308,0.394040588303477,0.41032161817137,0.422916848424208,0.433889831584706,0.450753993176448,0.460442678217048,0.478298597556707,0.458404330125096,0.482411103787272,0.578595583975723,0.674773518411839,0.751133330591384,0.939972703463021,0.97654716353387,1.13122481833053,1.47558338337265,1.74848098218517,1.92871947741287,1.7758420264121,1.7544498453012,1.60027875643589,1.45988001854646,1.5524930684254,2.03630338120142,2.36983465008921,2.61604064587263,2.61558772577391,3.10130064187512,3.1350456841006,3.35669251786417,3.19953622794818,1.89529062344033,2.3795180992266,2.58655074709844,2.44766898453131,2.80490224828537,3.38956698251573,2.96836999146729,3.19037105045524,3.62235020394595,4.74076835522974,5.45168886842974,6.14635274203313,6.54742013369942,7.62572312354939,9.45143635896861,9.45069733553565,10.1096189642848,12.0802966440643,12.5610160914673,13.4443011391384,13.9430169239017,11.832159275603,12.833363370174,14.1069568300857,15.8900650197634,16.1781620300694,17.9336063531775
"BGD","Bangladesh","BD","050","Bangladesh","Asia","https://public.flourish.studio/country-flags/svg/bd.svg",4.27489391349536,4.81758018360155,5.08141333978635,5.31945835116235,5.38605461934987,5.90663655700092,6.43968759832325,7.2535753993215,7.48368547351275,8.47100610095399,8.99272180939332,8.75184283979658,6.28824586666667,8.0867257293407,12.5124605197088,19.4483480734565,10.1171133333333,9.6511493018746,13.2817671428571,15.5654803219448,18.1380490956072,20.249694002448,18.5253992015968,17.6090488215488,18.92084,22.2784230769231,21.7740333333333,24.2980322580645,26.5790057603486,28.7817147638012,31.598341233559,30.9574839495798,31.7088745941645,33.1665194179894,33.768660882793,37.9397487686567,46.4384841075795,48.2443091334895,49.9845594713656,51.2705698835275,53.3697873186245,53.9912898443291,54.7240814905102,60.1589291882556,65.1085442500425,69.4429430894309,71.8190836837403,79.611888213148,91.6312782393237,102.47779147239,115.279077465226,128.637938711386,133.355749482478,149.99045102229,172.885454931453,195.07867869723,221.415188000475,249.710922462309,274.038973437275,302.57132044575,323.056957972312
"BGR","Bulgaria","BG","100","Bulgaria","Europe","https://public.flourish.studio/country-flags/svg/bg.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8392307692308,19.87,19.342,16.5636666666667,17.5949444444444,17.1554210526316,20.2492941176471,28.101,22.5559411764706,21.9884444444444,20.6320909090909,10.9435483870968,10.3505154639175,10.8297101449275,9.69741697416974,18.9833035714286,12.2942214727375,11.3159860871633,15.0306952965235,13.6273232845405,13.2458338435454,14.1834979631071,16.4028464130958,21.1449835516823,26.1578947368421,29.8692834000381,34.3798088886039,44.4051014695591,54.4389664198639,52.0235046562878,50.6820610532016,57.678241023818,54.3008574244415,55.8101384364821,57.0820112603446,50.7819967127635,53.9538976244344,59.1994474214924,66.3634224502112,68.9154161419576,69.8893474334324
"BHR","Bahrain","BH","048","Bahrain","Asia","https://public.flourish.studio/country-flags/svg/bh.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07269832846909,3.46781914893617,3.64574468085106,3.73510638297872,3.90558510638298,3.65186170212766,3.05239361702128,3.3920210106383,3.70239361702128,3.86356382978723,4.22978723404255,4.61622340425532,4.75106382978723,5.20026595744681,5.56755345744681,5.84946781914894,6.10186143617021,6.34920239361702,6.18377659574468,6.62101037234043,9.06289893617021,8.97619680851064,9.59351063829787,11.0748138297872,13.1501595744681,15.9687234042553,18.5047606382979,21.73,25.7109042553191,22.9382180851064,25.7132712765957,28.7765957446809,30.7493085106383,32.5394680851064,33.3877127659574,31.0506382978723,32.2349734042553,35.4737765957447,37.8014627659574,38.652579787234,34.7292287234043
